5,3,2,1,2,1,2,1,2,2,1,
10,7,8,7,8,7,8,7,8,7,8,
15,24,23,38,26,24,24,23,23,23,23,
20,54,54,54,54,54,54,55,54,54,54,
25,104,103,103,104,103,104,103,103,104,104,
30,177,177,177,177,177,177,177,177,177,177,
35,331,393,391,415,392,391,391,391,391,392,
40,579,508,507,509,509,508,508,509,516,509,
45,713,713,713,711,723,714,712,712,713,724,
50,853,853,852,851,868,852,853,852,853,861,
55,1130,1131,1147,1130,1132,1131,1139,1131,1130,1139,
60,1463,1460,1471,1463,1462,1469,1460,1470,1462,1463,
65,1852,1842,1852,1845,1850,1843,1852,1845,1845,1864,
70,2321,2313,2324,2315,2319,2312,2318,2316,2312,2316,
75,2821,2813,2819,2818,2815,2819,2818,2816,2819,2820,
80,3422,3422,3419,3418,3429,3420,3419,3422,3420,3422,
85,4123,4127,4126,4127,4128,4224,4133,4127,4130,4129,
90,4943,4941,4933,4934,4940,4938,4952,4934,4934,4937,
95,5689,5686,5717,5690,5691,5684,5686,5688,5682,5689,
100,6663,6656,6657,6656,6653,6663,6653,6653,6652,6652,
105,7706,7699,7705,7708,7703,7704,7703,7697,7701,7701,
110,8927,8923,8930,8927,8926,8926,8927,8924,8923,8928,
115,10168,10171,10163,10169,10166,10164,10165,10170,10164,10170,
120,11545,11546,11553,11558,11547,11550,11550,11551,11550,11548,
125,13027,13024,13016,13022,13030,13022,13023,13046,13054,13044,
130,14628,14608,14609,14605,14619,14603,14613,14614,14610,14604,
135,16400,16393,16393,16394,16399,16399,16436,16397,16394,16392,
140,18245,18246,18248,18250,18250,18252,18268,18253,18272,18249,
145,20283,20285,20277,20280,20274,20280,20274,20276,20277,20276,
150,22437,22424,22420,22423,22436,22417,22464,22457,22442,22425,
155,24749,24753,24731,24716,24733,24721,24736,24735,24733,24726,
160,29205,29218,29208,29204,29208,29215,29207,29201,29209,29207,
165,30021,29987,30031,30014,30022,30014,30020,30008,30030,30031,
170,34030,34047,34018,34053,34037,34051,34041,34060,34037,34028,
175,35853,35805,35802,35852,35848,35847,35839,35839,35856,35850,
180,39058,39054,39062,39018,39017,39041,39039,39037,39029,39041,
185,43227,43250,43213,43211,43210,43210,43218,43204,43248,43241,
190,47638,47579,47582,47603,47592,47593,47582,47613,47587,47552,
195,57394,57396,57367,57432,57400,57373,57386,57380,57371,57401,
200,55795,55902,55629,55593,55609,55545,55600,55538,55576,55536,
205,69880,69858,69864,69896,69881,69968,69888,69953,69896,69942,
210,69865,69896,69900,69843,69850,69863,69854,69889,69900,70884,
215,72189,72293,72225,72139,72250,72162,72135,72132,72144,72131,
220,78401,78339,78447,78554,78375,78316,78386,78321,78317,78300,
225,84029,84096,84078,83981,84004,84335,84055,84100,84097,84034,
230,90732,90606,90711,90624,90711,90677,90648,90588,90631,90553,
235,98063,97997,98020,98004,97969,97996,97944,97926,97952,97978,
240,104641,104556,104612,104523,104603,104516,104565,104676,104559,104659,
245,112861,112831,112894,112864,112803,112797,112848,112843,112867,112768,
250,120592,120653,120549,120534,120634,120589,120620,120542,120565,120634,
255,130054,130031,130133,130114,130101,130074,130106,130042,130079,130167,
260,138020,137871,137855,137818,137847,137950,137855,137847,137829,137914,
265,146613,146583,146549,146580,146571,146559,146560,146642,146558,146580,
270,156754,156777,156819,156865,156799,156770,156700,156978,156796,156927,
275,165955,165900,165995,165941,165937,165974,165912,165979,165916,165891,
280,174896,174849,174944,174885,174818,174875,174858,174964,174829,174869,
285,188162,188244,188259,188079,188107,188063,188124,188141,188139,188077,
290,199378,199371,199316,199327,199358,199308,199335,199385,199377,199336,
295,208723,208815,209461,208741,208734,208794,208674,208692,208808,208662,
300,222534,222420,222494,222407,222617,222449,239246,222457,222461,222375,
305,229994,229852,229946,229816,229855,229819,229871,229874,229915,229830,
310,247046,247075,246265,245573,246361,246182,246146,248103,245556,245834,
315,261556,261627,261494,261655,261524,261537,261531,261495,261534,261563,
320,276170,276163,276292,276119,276166,276201,276134,276141,276126,276082,
325,293131,293280,293062,293321,293326,293077,293399,293039,293052,293225,
330,304866,305386,305162,304820,304996,305073,304888,305049,304966,305150,
335,314971,314797,314831,315020,314768,314906,314929,314775,314974,314877,
340,338509,338593,338579,338537,338488,338472,338512,338443,338559,338549,
345,352613,351369,351021,351367,351160,351080,351182,351111,351029,351268,
350,368387,368487,368555,368429,368697,368459,368545,368612,368416,368493,
355,382764,382500,382751,382642,382572,382914,382615,382729,389732,382812,
360,398370,398342,398429,398434,398343,398563,398412,398392,398385,398279,
365,421013,421047,420947,421304,421011,421232,420972,420938,420929,420991,
370,440709,440691,440660,440602,440789,440637,440664,440619,440661,440627,
375,464299,464169,464372,464325,464516,464216,464332,464308,464400,464307,
380,479553,479453,479790,479559,479660,479465,479577,479490,479533,479463,
385,507336,507183,507066,507118,507155,507181,508467,507436,507480,507407,
390,525082,525078,542434,525354,524819,524826,526106,524870,524878,526423,
395,551043,550544,550552,550680,550409,550561,550419,550534,550485,550586,
400,561929,561923,561854,561860,561811,561825,561949,561854,561879,561790,
405,594273,594071,594228,594323,594225,594244,593983,594095,594013,594923,
410,617007,617323,617013,616910,616836,616891,617036,617144,617096,616942,
415,639865,639783,639830,639824,639896,641613,640337,639850,639947,639990,
420,657489,656530,655991,655946,655876,655779,656199,655839,655940,655929,
425,686930,686882,688100,687451,687117,686881,686883,686782,687043,686752,
430,709256,709250,709272,709403,709331,709283,709198,709297,709334,709577,
435,736439,736403,736632,736830,736507,736719,736483,737440,737072,736516,
440,750380,762992,750750,750085,750015,750180,750070,749970,749874,751272,
445,788041,787983,787678,787466,787522,787581,787685,787593,787617,787718,
450,813432,813584,813321,813150,814525,813585,813626,813121,813122,812968,
455,859174,858906,858856,858799,858999,859335,863324,859363,858789,858992,
460,860923,860581,860495,864803,861400,860958,860934,860608,860672,860823,
465,902401,902370,902136,902192,902678,912072,902123,902096,902563,902155,
470,930893,930781,930913,930796,930733,931070,930978,934009,932257,931295,
475,963638,965674,965445,964012,963655,989800,964447,964927,964500,964065,
480,997629,998830,997323,997249,997239,997303,997249,997404,997312,997419,
485,1041826,1040634,1040099,1039928,1039788,1040221,1039927,1039883,1044495,1040208,
490,1058325,1051791,1052088,1052364,1051849,1051638,1052011,1053298,1052012,1051890,
495,1093977,1093628,1093615,1093485,1093722,1093610,1093624,1093767,1093920,1094266,
500,1112669,1112689,1112273,1112511,1112624,1112619,1112385,1112335,1113521,1112477,
